Tip Propri;Tip strada;Denumire s;Suprafata ;Suprafata ;Suprafata teren;Pret tranz;Data tranz;Sursa fina,,,,,
Teren;Alee;BURIDAVA;0,0000;0,0000;13,7500;174762,0000;14.06.2023;Surse proprii,
Cladire;Alee;CAMPUL MOSILOR;59,6600;0,0000;0,0000;453203,0000;05.10.2022;Surse proprii,
Cladire;Alee;CENUSERESEI;86,6000;0,0000;0,0000;541112,0000;09.12.2022;Surse proprii,
Cladire;Alee;CIRCULUI;44,4000;0,0000;0,0000;429354,0000;02.08.2022;Surse proprii,
Cladire;Alee;CIRCULUI;44,8000;0,0000;0,0000;409306,0000;14.12.2022;Surse proprii,
Cladire;Alee;CIRCULUI;56,8900;0,0000;0,0000;588225,4000;30.06.2022;Mixt,
Cladire;Alee;CIRCULUI;60,4100;0,0000;0,0000;561350,0000;26.09.2023;Surse proprii,
Cladire;Alee;CISLAU;78,5600;0,0000;0,0000;655000,0000;04.04.2023;Mixt,
Cladire;Alee;CISLAU;36,6500;0,0000;0,0000;258445,0000;16.11.2023;Surse proprii,
Cladire;Alee;CISLAU;37,1000;0,0000;0,0000;237888,0000;12.06.2023;Surse proprii,
Cladire;Alee;CISLAU;47,2100;0,0000;0,0000;248200,0000;31.05.2023;Surse proprii,
Cladire;Alee;CISLAU;62,2700;0,0000;0,0000;418608,0000;13.03.2023;fara sursa,
Cladire;Alee;CISLAU;0,0000;47,5000;0,0000;358000,0000;14.06.2023;Mixt,
Cladire;Alee;CISLAU;109,3400;0,0000;0,0000;615025,0000;10.05.2023;Surse proprii,
Cladire;Alee;CISLAU;119,8800;0,0000;0,0000;462885,0000;14.03.2023;fara sursa,
Cladire;Alee;CISLAU;19,1500;0,0000;0,0000;462885,0000;14.03.2023;Credit,
Cladire;Alee;CISLAU;36,6900;0,0000;0,0000;256995,0000;16.08.2023;Surse proprii,
Cladire;Alee;CISLAU;36,6900;0,0000;0,0000;73985,0000;05.12.2023;Mixt,
Cladire;Alee;CISLAU;36,8700;0,0000;0,0000;201400,0000;24.05.2023;Surse proprii,
Cladire;Alee;CODLEA;34,6600;0,0000;0,0000;226955,0000;12.04.2023;Surse proprii,
Cladire;Alee;CODLEA;32,4800;0,0000;0,0000;173215,0000;08.08.2023;Surse proprii,
Cladire;Alee;CODLEA;63,5000;0,0000;0,0000;406687,0000;20.06.2023;Surse proprii,
Cladire;Alee;CODLEA;63,9000;0,0000;0,0000;392459,0000;25.10.2023;Credit,
Cladire;Alee;CODLEA;31,8000;0,0000;0,0000;163233,0000;11.04.2023;Surse proprii,
Cladire;Alee;CODLEA;32,9000;0,0000;0,0000;250987,0000;06.03.2023;fara sursa,
Cladire;Alee;CODLEA;52,5200;0,0000;0,0000;380000,0000;13.10.2023;Mixt,
Cladire;Alee;CODLEA;49,4000;0,0000;0,0000;268380,0000;14.11.2023;Credit,
Cladire;Alee;COZIA;0,0000;46,6200;0,0000;245050,0000;04.11.2022;Surse proprii,
Cladire;Alee;CUMIDAVA;26,8600;0,0000;0,0000;49000,0000;21.06.2023;fara sursa,
Teren;Alee;CUMIDAVA;0,0000;0,0000;25,0000;247975,0000;21.06.2023;fara sursa,
Cladire;Alee;CUMIDAVA;91,7300;0,0000;0,0000;158853,0000;21.08.2023;Surse proprii,
Cladire;Alee;CUMIDAVA;5,1900;0,0000;0,0000;158853,0000;21.08.2023;Surse proprii,
Cladire;Alee;CUMIDAVA;35,1200;0,0000;0,0000;125000,0000;20.09.2023;Surse proprii,
Teren;Alee;CUMIDAVA;0,0000;0,0000;22,2100;125000,0000;20.09.2023;Surse proprii,
Cladire;Alee;CUMIDAVA;0,0000;79,7200;0,0000;332000,0000;27.02.2023;Surse proprii,
Cladire;Alee;CUMIDAVA;12,5000;0,0000;0,0000;9000,0000;08.09.2022;Surse proprii,
Cladire;Alee;CUMIDAVA;0,0000;12,6200;0,0000;332,0000;27.02.2023;Surse proprii,
Teren;Alee;CUMIDAVA;0,0000;0,0000;5,5600;9000,0000;08.09.2022;Surse proprii,
Teren;Alee;CUMIDAVA;0,0000;0,0000;35,4800;332000,0000;27.02.2023;Surse proprii,
Teren;Alee;CUMIDAVA;0,0000;0,0000;5,6100;332000,0000;27.02.2023;Surse proprii,
Cladire;Alee;DEDA;27,9000;0,0000;0,0000;203754,0000;27.09.2023;Surse proprii,
Cladire;Alee;DEDA;28,0900;0,0000;0,0000;238526,4000;03.11.2023;Surse proprii,
Cladire;Alee;DEDA;28,2700;0,0000;0,0000;213714,0000;16.11.2023;Surse proprii,
Cladire;Alee;DEDA;31,6100;0,0000;0,0000;259949,0000;13.09.2022;Surse proprii,
Cladire;Alee;DEDA;32,4000;0,0000;0,0000;256776,0000;05.04.2023;Surse proprii,
Cladire;Alee;DEDA;51,7000;0,0000;0,0000;379485,0000;07.09.2023;Surse proprii,
Cladire;Alee;DEDA;65,3900;0,0000;0,0000;497050,0000;19.10.2023;Mixt,
Cladire;Alee;DEDA;67,8000;0,0000;0,0000;485012,0000;05.09.2023;Surse proprii,
Cladire;Alee;DEDA;4,5000;0,0000;0,0000;543774,0000;16.02.2022;Mixt,
Cladire;Alee;DEDA;4,5900;0,0000;0,0000;543774,0000;16.02.2022;Mixt,
Cladire;Alee;DEDA;17,1800;0,0000;0,0000;47015,5000;03.10.2022;Surse proprii,
Cladire;Alee;DEDA;101,6600;0,0000;0,0000;700459,0000;05.12.2023;Mixt,
Cladire;Alee;DEDA;87,5400;0,0000;0,0000;543774,0000;16.02.2022;Mixt,
Teren;Alee;DEDA;0,0000;0,0000;29,7600;700459,0000;05.12.2023;Mixt,
Cladire;Alee;DIHAM;48,1500;0,0000;0,0000;246055,0000;09.12.2022;Surse proprii,
Cladire;Alee;DIHAM;65,8000;0,0000;0,0000;541817,0000;12.12.2023;Mixt,
Cladire;Alee;DIHAM;65,8300;0,0000;0,0000;450814,0000;10.07.2023;Mixt,
Cladire;Alee;DIHAM;29,2700;0,0000;0,0000;237984,0000;30.05.2023;Surse proprii,
Cladire;Alee;DIHAM;50,6600;0,0000;0,0000;357458,0000;31.10.2023;Surse proprii,
Cladire;Alee;DIHAM;51,0000;0,0000;0,0000;392827,5000;29.11.2023;Surse proprii,
Teren;Alee;DIHAM;0,0000;0,0000;7,3100;0,0000;29.11.2023;Surse proprii,
Cladire;Alee;DIHAM;65,5000;0,0000;0,0000;419900,0000;23.03.2022;Surse proprii,
Cladire;Alee;DIHAM;51,3000;0,0000;0,0000;364820,0000;28.06.2023;Surse proprii,
Cladire;Alee;DIHAM;55,0400;0,0000;0,0000;384852,0000;24.08.2023;Mixt,
Cladire;Alee;DINOGETIA;137,0000;0,0000;0,0000;762600,0000;09.01.2023;Surse proprii,
Cladire;Alee;DOBRINA;30,6700;0,0000;0,0000;248500,0000;21.07.2023;Credit,
Cladire;Alee;DOBRINA;27,2100;0,0000;0,0000;200000,0000;26.07.2023;Credit,
Cladire;Alee;DOBRINA;27,7500;0,0000;0,0000;198760,0000;13.09.2023;Surse proprii,
Cladire;Alee;DOBRINA;30,6600;0,0000;0,0000;162644,0000;13.12.2022;Surse proprii,
Cladire;Alee;DOBRINA;31,0500;0,0000;0,0000;196800,0000;16.12.2022;Surse proprii,
Cladire;Alee;DOBRINA;52,7500;0,0000;0,0000;353925,0000;18.05.2023;Surse proprii,
Cladire;Alee;DOBRINA;67,0400;0,0000;0,0000;477081,0000;08.11.2023;Credit,
Cladire;Alee;DOBRINA;28,5000;0,0000;0,0000;228822,4000;03.10.2023;Surse proprii,
Cladire;Alee;DOBRINA;50,6200;0,0000;0,0000;200000,0000;02.08.2023;Surse proprii,
Cladire;Alee;DOBRINA;51,4400;0,0000;0,0000;346976,0000;13.06.2023;Credit,
Cladire;Alee;DOBRINA;54,4500;0,0000;0,0000;350000,0000;21.07.2023;Surse proprii,
Cladire;Alee;DOBRINA;47,9600;0,0000;0,0000;199120,0000;22.05.2023;Surse proprii,
Cladire;Alee;DOBRINA;30,8000;0,0000;0,0000;197336,0000;02.08.2023;Surse proprii,
Cladire;Alee;DOBRINA;27,5000;0,0000;0,0000;171640,0000;20.02.2023;Surse proprii,
Cladire;Alee;DOBRINA;28,1000;0,0000;0,0000;211780,0000;20.07.2023;Mixt,
Cladire;Alee;DOBRINA;31,3000;0,0000;0,0000;166320,0000;25.05.2023;Surse proprii,
Cladire;Alee;HOBITA;67,3000;0,0000;0,0000;440000,0000;26.07.2022;Surse proprii,
Teren;Alee;HOBITA;0,0000;0,0000;11,3300;440000,0000;26.07.2022;Surse proprii,
Cladire;Alee;HOBITA;30,9400;0,0000;0,0000;197146,0000;10.05.2023;Surse proprii,
Cladire;Alee;HOBITA;47,7800;0,0000;0,0000;270600,0000;31.08.2023;Surse proprii,
Cladire;Alee;HOBITA;48,5200;0,0000;0,0000;100000,0000;28.10.2022;Surse proprii,
Cladire;Alee;HOBITA;82,4000;0,0000;0,0000;330900,0000;28.12.2022;Surse proprii,
Cladire;Alee;ILIA;35,5800;0,0000;0,0000;204001,4700;12.04.2023;Mixt,
Cladire;Alee;ILIA;38,6000;0,0000;0,0000;265440,0000;07.06.2023;Mixt,
Cladire;Alee;ILIA;64,2900;0,0000;0,0000;342564,0000;31.10.2023;Surse proprii,
Cladire;Alee;ILIA;40,2000;0,0000;0,0000;90846,0000;14.11.2012;Surse proprii,
Cladire;Alee;ILIA;41,2000;0,0000;0,0000;290578,4200;15.12.2022;Mixt,
Cladire;Alee;ILIA;41,8000;0,0000;0,0000;283158,9000;08.12.2023;Surse proprii,
Cladire;Alee;ILIA;38,6000;0,0000;0,0000;297816,0000;23.06.2023;Surse proprii,
Cladire;Alee;ILIA;35,7500;0,0000;0,0000;261719,3000;13.04.2023;Surse proprii,
Cladire;Alee;ILIA;38,8000;0,0000;0,0000;274568,0000;24.02.2023;Credit,
Cladire;Alee;ILIA;38,9500;0,0000;0,0000;315233,0000;27.10.2023;Surse proprii,
Cladire;Alee;ILIA;39,3900;0,0000;0,0000;95000,0000;28.12.2022;Surse proprii,
Cladire;Alee;ILIA;62,4100;0,0000;0,0000;324676,0000;22.12.2022;Credit,
Cladire;Alee;LUNCSOARA;34,0000;0,0000;0,0000;274448,0000;17.02.2023;Mixt,
,,,,,
Cladire;Alee;LUNCSOARA;52,7800;0,0000;0,0000;619920,0000;23.03.2023;Surse proprii,
Cladire;Alee;LUNCSOARA;9,5500;0,0000;0,0000;619920,0000;23.03.2023;Surse proprii,
Teren;Alee;LUNCSOARA;0,0000;0,0000;9,4900;619920,0000;23.03.2023;Surse proprii,
Cladire;Alee;LUNCSOARA;116,2000;0,0000;0,0000;938087,0000;09.10.2023;Mixt,
Cladire;Alee;LUNCSOARA;15,2000;0,0000;0,0000;938087,0000;09.10.2023;Mixt,
Cladire;Alee;LUNCSOARA;31,0000;0,0000;0,0000;235000,0000;16.06.2023;Credit,
Cladire;Alee;LUNCSOARA;31,9900;0,0000;0,0000;250000,0000;16.03.2023;Surse proprii,
Cladire;Alee;LUNGULETU;28,4500;0,0000;0,0000;242917,0000;26.05.2023;Surse proprii,
Cladire;Alee;LUNGULETU;61,7300;0,0000;0,0000;83400,0000;29.11.2023;Surse proprii,
Cladire;Alee;LUNGULETU;45,4100;0,0000;0,0000;332883,0000;06.04.2023;Surse proprii,
Cladire;Alee;LUNGULETU;46,1200;0,0000;0,0000;303800,0000;08.12.2022;Mixt,
Cladire;Alee;LUNGULETU;47,0100;0,0000;0,0000;49466,0000;01.04.2022;Surse proprii,
Cladire;Alee;LUNGULETU;47,1800;0,0000;0,0000;359852,0000;22.11.2023;Surse proprii,
Cladire;Alee;LUNGULETU;48,2900;0,0000;0,0000;262668,0000;12.06.2023;fara sursa,
Cladire;Alee;LUNGULETU;51,4700;0,0000;0,0000;310092,3000;11.05.2023;Mixt,
Cladire;Alee;LUNGULETU;58,2200;0,0000;0,0000;264137,0000;16.12.2022;Surse proprii,
Cladire;Alee;LUNGULETU;63,1000;0,0000;0,0000;459726,0000;20.12.2022;Surse proprii,
Cladire;Alee;MAGURA VULTURULUI;27,9400;0,0000;0,0000;247405,0000;29.03.2023;Surse proprii,
Cladire;Alee;MAGURA VULTURULUI;27,9900;0,0000;0,0000;243417,0000;07.12.2023;Surse proprii,
Cladire;Alee;MAGURA VULTURULUI;31,9000;0,0000;0,0000;230765,5500;13.10.2023;Surse proprii,
Cladire;Alee;MAGURA VULTURULUI;66,2900;0,0000;0,0000;553187,5000;17.10.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;41,2400;0,0000;0,0000;307842,0000;19.09.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;41,7200;0,0000;0,0000;296484,0000;13.07.2023;Mixt,
Cladire;Alee;MOZAICULUI;42,0200;0,0000;0,0000;268423,0000;12.12.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;40,0500;0,0000;0,0000;262765,0000;24.02.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;40,5900;0,0000;0,0000;315168,0000;25.07.2023;Mixt,
